agera,agerar,agerade,agerat,действовать,act
visa,visar,visade,visat,показывать,show
vistas,vistas,vistades,vistats,находиться,stay
vrida,vrider,vred,vridit,поворачивать,rotate
väcka,väcker,väckte,väckt,будить,wake
vägra,vägrar,vägrade,vägrat,отказывать,refuse
välja,väljer,valde,valt,выбирать,choose
vända,vänder,vände,vänt,поворачивать,reverse
vänja,vänjer,vande,vant,приучать,accustom
vänta,väntar,väntade,väntat,ждать,wait
växa,växer,växte,vuxit,расти,grow
våga,vågar,vågade,vågat,осмеливаться,dare
äga,äger,ägde,ägt,владеть,own
ägna,ägnar,ägnade,ägnat,уделять,devote
älska,älskar,älskade,älskat,любить,love
ändra,ändrar,ändrade,ändrat,изменять,alter
äta,äter,åt,ätit,есть,eat
åka,åker,åkte,åkt,ехать,go by riding
åsamka,åsamkar,åsamkade,åsamkat,причинять,inflict
åta,åtar,åtog,åtagit,брать ответственность,undertake
återkomma,återkommer,återkom,återkommit,возвращаться,return
återvända,återvänder,återvände,återvänt,возвращаться,return
öka,ökar,ökade,ökat,повышать,increase
önska,önskar,önskade,önskat,желать,wish
öppna,öppnar,öppnade,öppnat,открывать,open
ösa,öser,öste,öst,черпать,scoop
öva,övar,övade,övat,практиковать,practice
överleva,överlever,överlevde,överlevt,пережить,survive
